,Company Name,Symbol,Sector
0,Adani Ports,ADANIPORTS,Infrastructure
1,Asian Paints,ASIANPAINT,Consumer Goods
2,Axis Bank,AXISBANK,Banking
3,Bajaj Auto,BAJAJ-AUTO,Automobile
4,Bajaj Finance,BAJFINANCE,Financial Services
5,Bajaj Finserv,BAJAJFINSV,Financial Services
6,Bharti Airtel,BHARTIARTL,Telecommunication
7,Bharat Petroleum,BPCL,Energy - Oil & Gas
8,Britannia Industries,BRITANNIA,Consumer Goods
9,Cipla,CIPLA,Pharmaceuticals
10,Coal India,COALINDIA,Metals
11,Divi's Laboratories,DIVISLAB,Pharmaceuticals
12,Dr. Reddy's Laboratories,DRREDDY,Pharmaceuticals
13,Eicher Motors,EICHERMOT,Automobile
14,Grasim Industries,GRASIM,Cement
15,HCL Technologies,HCLTECH,Information Technology
16,HDFC,HDFC,Financial Services
17,HDFC Bank,HDFCBANK,Banking
18,HDFC Life,HDFCLIFE,Financial Services
19,Hero MotoCorp,HEROMOTOCO,Automobile
20,Hindalco Industries,HINDALCO,Metals
21,Hindustan Unilever,HINDUNILVR,Consumer Goods
22,ICICI Bank,ICICIBANK,Banking
23,IndusInd Bank,INDUSINDBK,Banking
24,Infosys,INFY,Information Technology
25,Indian Oil Corporation,IOC,Energy - Oil & Gas
26,ITC Limited,ITC,Consumer Goods
27,JSW Steel,JSWSTEEL,Metals
28,Kotak Mahindra Bank,KOTAKBANK,Banking
29,Larsen & Toubro,LT,Construction
30,Mahindra & Mahindra,M&M,Automobile
31,Maruti Suzuki,MARUTI,Automobile
32,Nestlé India,NESTLEIND,Consumer Goods
33,NTPC,NTPC,Energy - Power
34,Oil and Natural Gas Corporation,ONGC,Energy - Oil & Gas
35,Power Grid Corporation of India,POWERGRID,Energy - Power
36,Reliance Industries,RELIANCE,Energy - Oil & Gas
37,State Bank of India,SBIN,Banking
38,SBI Life Insurance Company,SBILIFE,Financial Services
39,Shree Cements,SHREECEM,Cement
40,Sun Pharmaceutical,SUNPHARMA,Pharmaceuticals
41,Tata Motors,TATAMOTORS,Automobile
42,Tata Steel,TATASTEEL,Metals
43,Tata Consultancy Services,TCS,Information Technology
44,Tata Consumer Products,TATACONSUM,Consumer Goods
45,Tech Mahindra,TECHM,Information Technology
46,Titan Company,TITAN,Consumer Durables
47,UltraTech Cement,ULTRACEMCO,Cement
48,United Phosphorus Limited,UPL,Chemicals
49,Wipro,WIPRO,Information Technology[19]
